time,open,high,low,close,Volume
1992-12-01,73.75,83.55,73.75,77.55,0
1993-01-01,78.15,78.25,54.1,58.3,0
1993-02-01,58.8,69.6,57.2,64.85,0
1993-03-01,63.1,66.05,55.85,58.6,0
1993-04-01,57.6,64.3,54.1,64.2,0
1993-05-03,64.4,66.3,56.25,63.55,0
1993-06-01,62.9,64.85,57.6,61.35,0
1993-07-01,61.5,77.9,61,76.55,0
1993-08-02,78.2,80.1,69.5,77.9,0
1993-09-01,77.3,83.8,74.15,74.5,0
1993-10-01,73.25,79.45,70.8,79.3,0
1993-11-01,79.3,81.15,74.6,77.6,0
1993-12-01,78.2,80.3,71.35,71.55,0
1994-01-03,71.45,75.85,70.55,72.35,0
1994-02-01,73.05,79.5,71.95,76.4,0
1994-03-01,76.75,83.9,75.2,82.2,0
1994-04-01,81.4,89.7,79.6,89.5,0
1994-05-02,89.7,145.5,88.8,126,0
1994-06-01,124.5,200,117.3,191.6,0
1994-07-01,201.5,274,184,202.75,0
1994-08-01,204.5,221.25,174,210.9,0
1994-09-01,209,232.5,207.5,208.85,0
1994-10-03,212.25,215.75,179,187.4,0
1994-11-01,188,197.5,156.5,160.8,0
1994-12-01,160.75,178,144.5,168.85,0
1995-01-02,166.5,176.25,154,155.5,0
1995-02-01,155.35,184.7,150.75,181.25,0
1995-03-01,179.5,188.95,161.6,166.3,0
1995-04-03,166.8,179.2,163,174.15,0
1995-05-01,173.1,178.1,149,153.85,0
1995-06-01,154.75,162,130,130.3,0
1995-07-03,130,152.8,120,145.7,0
1995-08-01,146,157.35,140.35,147.5,0
1995-09-01,146,151.9,113.15,117.25,0
1995-10-02,120,129,111.5,121.55,0
1995-11-01,121,126.5,103.5,104.85,0
1995-12-01,104.85,107.9,93.15,94.9,0
1996-01-01,92.6,131.5,90.4,128.6,0
1996-02-01,128,130.75,112.1,115.9,0
1996-03-01,114.5,124.9,110.65,115.45,0
1996-04-01,115.45,133.5,111,124.45,0
1996-05-01,125.8,130.5,115.7,116.1,0
1996-06-03,114.5,123,112.15,121.45,0
1996-07-01,116,121.1,101.5,106.4,0
1996-08-01,106.25,128.5,105.3,118.25,0
1996-09-02,115.5,116.3,102.25,102.95,0
1996-10-01,103.5,123,103.5,117.2,0
1996-11-01,117.75,124.6,106.4,107.75,0
1996-12-02,106.2,117.75,102.25,116.9,0
1997-01-01,117,147.8,113.6,139.4,0
1997-02-03,141.5,177,137.6,176.85,0
1997-03-03,180,209.5,158.65,191.15,0
1997-04-01,190.5,212,162.75,210.4,0
1997-05-01,211,318,209,276.4,0
1997-06-02,270,275,165,172.4,0
1997-07-01,174,198,156,184.5,0
1997-08-01,184.5,209.75,154.5,179.9,0
1997-09-01,182.5,196,160,162.5,0
1997-10-01,162.5,171.5,146.1,148.65,0
1997-11-03,148,158.75,138.5,155.05,0
1997-12-01,156.15,188.5,154,162.45,0
1998-01-01,161.9,183.5,156,174.7,0
1998-02-02,176,183,160.5,162.15,0
1998-03-02,162,162,139.25,146.25,0
1998-04-01,146,150,129.5,131.45,0
1998-05-01,131.5,138,124,132.5,0
1998-06-01,131,131,108.5,110.2,0
1998-07-01,109.5,129.5,105,129.2,90464
1998-08-03,128.5,137.4,108.25,116.35,112187
1998-09-01,116.85,117,98.75,105.15,124538
1998-10-01,104.5,112.5,99.5,110,126254
1998-11-02,112,129.25,106.75,110.1,103973
1998-12-01,109.75,122.7,107,117.75,120779
1999-01-01,116.5,125,102.25,103.9,148295
1999-02-01,106,110.5,101.3,102.9,116672
1999-03-01,103.5,113.35,100,109.7,191158
1999-04-01,110.5,110.5,97.25,104,143008
1999-05-03,104,127,101.1,121.6,178623
1999-06-01,119,125,99.1,101.4,147303
1999-07-01,101.75,102.25,90.5,91.1,134606
1999-08-02,90.4,103.5,88.25,89.85,133340
1999-09-01,91,96.45,80.8,82.45,118637
1999-10-01,81.75,120,80,100.2,178213
1999-11-01,105,137,101.8,134.6,142275
1999-12-01,134,149,115.35,125.9,134641
2000-01-03,124,126,110.5,111.1,119417
2000-02-01,110.6,114.5,98.4,100.4,126904
2000-03-01,101.25,110.25,100.8,103.7,119620
2000-04-03,103.5,103.7,95.35,98,121555
2000-05-01,99,104.7,92.25,93,137414
2000-06-01,94,97.25,86.5,87.45,118683
2000-07-03,87,122,82.4,86.45,158127
2000-08-01,86.5,87.75,78.75,79.7,98914
2000-09-01,80,85.25,77.4,83,99991
2000-10-02,81,91,73.35,74.4,119063
2000-11-01,75,81.1,71.3,71.7,99769
2000-12-01,72.25,72.75,64.9,65.55,89290
2001-01-02,65.25,72.5,62,63.75,128585
2001-02-01,64,67.7,61.3,65.9,103339
2001-03-01,65.5,69,59.4,60.3,112588
2001-04-02,60.5,65.9,57.5,64.45,138143
2001-05-01,65.25,69.7,57.1,57.15,128987
2001-06-01,58.25,64.25,57.1,58.5,118260
2001-07-02,57.5,58.4,50.6,51.95,88424
2001-08-01,51.7,58.5,48.1,54.35,141282
2001-09-04,53.5,53.7,47.75,48.3,62459
2001-10-01,47.75,48,42.2,43.9,95850
2001-11-01,43.7,53,43.45,46.2,112852
2001-12-03,46.75,50,44.75,46.2,89542
2002-01-02,45.75,51.6,44.5,45.1,125710
2002-02-01,44.25,51.3,44,46.3,139128
2002-03-01,46.7,57.8,46.3,57.2,157837
2002-04-01,56.5,59.7,50.1,52.85,158516
2002-05-01,52.5,53.4,48.5,51.9,98954
2002-06-03,52,52.35,48.5,48.85,114904
